Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,02-Sep-2024,26-Sep-2024,CE,2520.00,-,-,-,530.00,530.00,524.40,-,-,-,6250.00,-,3019.25
RELIANCE,02-Sep-2024,26-Sep-2024,CE,2560.00,-,-,-,560.35,-,484.75,-,-,-,-,-,3019.25
RELIANCE,02-Sep-2024,26-Sep-2024,CE,2600.00,458.00,458.00,458.00,458.00,458.00,445.30,1.00,7.64,1.15,750.00,250.00,3019.25
RELIANCE,02-Sep-2024,26-Sep-2024,CE,2640.00,-,-,-,490.15,-,406.05,-,-,-,-,-,3019.25
RELIANCE,02-Sep-2024,26-Sep-2024,CE,2680.00,-,-,-,456.30,-,367.25,-,-,-,-,-,3019.25
RELIANCE,02-Sep-2024,26-Sep-2024,CE,2700.00,340.50,340.50,340.50,340.50,340.50,348.05,1.00,7.60,0.85,7000.00,250.00,3019.25
RELIANCE,02-Sep-2024,26-Sep-2024,CE,2720.00,-,-,-,332.00,332.00,329.05,-,-,-,1000.00,-,3019.25
RELIANCE,02-Sep-2024,26-Sep-2024,CE,2760.00,-,-,-,307.00,307.00,291.80,-,-,-,1000.00,-,3019.25
RELIANCE,02-Sep-2024,26-Sep-2024,CE,2780.00,267.25,267.25,267.25,267.25,267.25,273.60,2.00,15.24,1.34,-,-500.00,3019.25
RELIANCE,02-Sep-2024,26-Sep-2024,CE,2800.00,255.00,266.50,240.00,248.35,246.25,248.35,178.00,1359.47,113.47,143250.00,-16750.00,3019.25
RELIANCE,02-Sep-2024,26-Sep-2024,CE,2820.00,223.00,223.00,223.00,223.00,223.00,238.35,1.00,7.61,0.56,500.00,250.00,3019.25
